
Model: TCNMerge, Epoch: 1/10, Batch: 50/938, Loss: 0.49403
Model: TCNMerge, Epoch: 1/10, Batch: 100/938, Loss: 0.21392
Model: TCNMerge, Epoch: 1/10, Batch: 150/938, Loss: 0.27882
Model: TCNMerge, Epoch: 1/10, Batch: 200/938, Loss: 0.29152
Model: TCNMerge, Epoch: 1/10, Batch: 250/938, Loss: 0.26311
Model: TCNMerge, Epoch: 1/10, Batch: 300/938, Loss: 0.20888
Model: TCNMerge, Epoch: 1/10, Batch: 350/938, Loss: 0.05253
Model: TCNMerge, Epoch: 1/10, Batch: 400/938, Loss: 0.22623
Model: TCNMerge, Epoch: 1/10, Batch: 450/938, Loss: 0.22812
Model: TCNMerge, Epoch: 1/10, Batch: 500/938, Loss: 0.20085
Model: TCNMerge, Epoch: 1/10, Batch: 550/938, Loss: 0.20731
Model: TCNMerge, Epoch: 1/10, Batch: 600/938, Loss: 0.41987
Model: TCNMerge, Epoch: 1/10, Batch: 650/938, Loss: 0.24478
Model: TCNMerge, Epoch: 1/10, Batch: 700/938, Loss: 0.19580
Model: TCNMerge, Epoch: 1/10, Batch: 750/938, Loss: 0.14181
Model: TCNMerge, Epoch: 1/10, Batch: 800/938, Loss: 0.18204
Model: TCNMerge, Epoch: 1/10, Batch: 850/938, Loss: 0.08681
Model: TCNMerge, Epoch: 1/10, Batch: 900/938, Loss: 0.09346
------------------------------------------------------
Model: TCNMerge, Epoch: 1/10, Correct Predictions: 9567/10000, Accuracy: 95.67 %
------------------------------------------------------
Model: TCNMerge, Epoch: 2/10, Batch: 50/938, Loss: 0.00941
Model: TCNMerge, Epoch: 2/10, Batch: 100/938, Loss: 0.02948
Model: TCNMerge, Epoch: 2/10, Batch: 150/938, Loss: 0.09973
Model: TCNMerge, Epoch: 2/10, Batch: 200/938, Loss: 0.06960
Model: TCNMerge, Epoch: 2/10, Batch: 250/938, Loss: 0.19185
Model: TCNMerge, Epoch: 2/10, Batch: 300/938, Loss: 0.09851
Model: TCNMerge, Epoch: 2/10, Batch: 350/938, Loss: 0.00636
Model: TCNMerge, Epoch: 2/10, Batch: 400/938, Loss: 0.18538
Model: TCNMerge, Epoch: 2/10, Batch: 450/938, Loss: 0.20621
Model: TCNMerge, Epoch: 2/10, Batch: 500/938, Loss: 0.13057
Model: TCNMerge, Epoch: 2/10, Batch: 550/938, Loss: 0.11012
Model: TCNMerge, Epoch: 2/10, Batch: 600/938, Loss: 0.17498
Model: TCNMerge, Epoch: 2/10, Batch: 650/938, Loss: 0.13732
Model: TCNMerge, Epoch: 2/10, Batch: 700/938, Loss: 0.07838
Model: TCNMerge, Epoch: 2/10, Batch: 750/938, Loss: 0.03132
Model: TCNMerge, Epoch: 2/10, Batch: 800/938, Loss: 0.15329
Model: TCNMerge, Epoch: 2/10, Batch: 850/938, Loss: 0.03860
Model: TCNMerge, Epoch: 2/10, Batch: 900/938, Loss: 0.12682
------------------------------------------------------
Model: TCNMerge, Epoch: 2/10, Correct Predictions: 9588/10000, Accuracy: 95.88 %
------------------------------------------------------
Model: TCNMerge, Epoch: 3/10, Batch: 50/938, Loss: 0.00864
Model: TCNMerge, Epoch: 3/10, Batch: 100/938, Loss: 0.04319
Model: TCNMerge, Epoch: 3/10, Batch: 150/938, Loss: 0.12366
Model: TCNMerge, Epoch: 3/10, Batch: 200/938, Loss: 0.08537
Model: TCNMerge, Epoch: 3/10, Batch: 250/938, Loss: 0.23854
Model: TCNMerge, Epoch: 3/10, Batch: 300/938, Loss: 0.08204
Model: TCNMerge, Epoch: 3/10, Batch: 350/938, Loss: 0.00164
Model: TCNMerge, Epoch: 3/10, Batch: 400/938, Loss: 0.17006
Model: TCNMerge, Epoch: 3/10, Batch: 450/938, Loss: 0.17450
Model: TCNMerge, Epoch: 3/10, Batch: 500/938, Loss: 0.11738
Model: TCNMerge, Epoch: 3/10, Batch: 550/938, Loss: 0.03484
Model: TCNMerge, Epoch: 3/10, Batch: 600/938, Loss: 0.13708
Model: TCNMerge, Epoch: 3/10, Batch: 650/938, Loss: 0.11633
Model: TCNMerge, Epoch: 3/10, Batch: 700/938, Loss: 0.06640
Model: TCNMerge, Epoch: 3/10, Batch: 750/938, Loss: 0.07980
Model: TCNMerge, Epoch: 3/10, Batch: 800/938, Loss: 0.09579
Model: TCNMerge, Epoch: 3/10, Batch: 850/938, Loss: 0.03098
Model: TCNMerge, Epoch: 3/10, Batch: 900/938, Loss: 0.12818
------------------------------------------------------
Model: TCNMerge, Epoch: 3/10, Correct Predictions: 9748/10000, Accuracy: 97.48 %
------------------------------------------------------
Model: TCNMerge, Epoch: 4/10, Batch: 50/938, Loss: 0.00524
Model: TCNMerge, Epoch: 4/10, Batch: 100/938, Loss: 0.01904
Model: TCNMerge, Epoch: 4/10, Batch: 150/938, Loss: 0.13828
